,verb,"NP V that S{first, past}","NP V that S{third, past}","NP V that S{first, present}","NP V that S{third, present}","NP be V that S{first, past}","NP be V that S{third, past}","NP be V that S{first, present}","NP be V that S{third, present}","NP be V to VP[+eventive]{first, past}","NP be V to VP[+eventive]{third, past}","NP be V to VP[+eventive]{first, present}","NP be V to VP[+eventive]{third, present}","NP V to VP[+eventive]{first, past}","NP V to VP[+eventive]{third, past}","NP V to VP[+eventive]{first, present}","NP V to VP[+eventive]{third, present}","NP V to VP[-eventive]{first, past}","NP V to VP[-eventive]{third, past}","NP V to VP[-eventive]{first, present}","NP V to VP[-eventive]{third, present}","NP be V to VP[-eventive]{first, past}","NP be V to VP[-eventive]{third, past}","NP be V to VP[-eventive]{first, present}","NP be V to VP[-eventive]{third, present}",tense: past,tense: present,subject: first,subject: third,total
723,resent,0.351,0.351,0.351,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0.395,0.395,0.395,0.395,0,0,0,0,0.284,0.18750000000000003,0.212,0.2916666666666667,0.2518333333333333
724,resolve,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.371,0.371,0.371,0.371,0.386,0.386,0.386,0.386,0.499,0.499,0.499,0.499,0.44300000000000006,0.44300000000000006,0.44300000000000006,0.44300000000000006,0.475,0.475,0.475,0.475,0.43233333333333335,0.40275,0.4103,0.4307000000000001,0.4205
725,respond,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.227,0.227,0.227,0.227,0.493,0.493,0.493,0.493,0,0,0,0,0.33399999999999996,0.40700000000000003,0.35479999999999995,0.37160000000000004,0.3632000000000001
726,restate,0.21600000000000003,0.21600000000000003,0.21600000000000003,0.21600000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0.47800000000000004,0.47800000000000004,0.47800000000000004,0.47800000000000004,0.355,0.355,0.355,0.355,0.36033333333333334,0.30199999999999994,0.3355,0.356,0.34575
727,resume,0,0,0,0,0,0,0,0,0,0,0,0,0.544,0.544,0.544,0.544,0,0,0,0,0,0,0,0,0.4335,0,0.32300000000000006,0.544,0.4335
728,retort,0.273,0.273,0.273,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0.352,0.352,0.352,0,0,0,0,0.2955,0.373,0.3093333333333333,0.3333333333333333,0.32133333333333325
729,retract,0.471,0.471,0.471,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37150000000000005,0.35,0.301,0.4205,0.36075
730,reveal,0.54,0.54,0.54,0.54,0,0,0,0,0.535,0.535,0.535,0.535,0.323,0.323,0.323,0.323,0.4339999999999999,0.4339999999999999,0.4339999999999999,0.4339999999999999,0.633,0.633,0.633,0.633,0.41359999999999997,0.39249999999999996,0.364375,0.44699999999999995,0.4056875
731,revolt,0,0,0,0,0.296,0.296,0.296,0.296,0.312,0.312,0.312,0.312,0,0,0,0,0.254,0.254,0.254,0.254,0,0,0,0,0.3231666666666666,0.28825,0.3268,0.2916,0.3092
732,ridicule,0,0,0,0,0.16299999999999998,0.16299999999999998,0.16299999999999998,0.16299999999999998,0.33999999999999997,0.33999999999999997,0.33999999999999997,0.33999999999999997,0,0,0,0,0,0,0,0,0.372,0.372,0.372,0.372,0.3073333333333333,0.26175,0.3182,0.25999999999999995,0.2891
733,rile,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3275,0.3435,0.3370000000000001,0.334,0.3355
734,rouse,0,0,0,0,0.38999999999999996,0.38999999999999996,0.38999999999999996,0.38999999999999996,0.43100000000000005,0.43100000000000005,0.43100000000000005,0.43100000000000005,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0,0,0,0,0,0,0,0,0.3651666666666666,0.2946666666666666,0.29416666666666663,0.36566666666666664,0.3299166666666667
735,rule,0.517,0.517,0.517,0.517,0,0,0,0,0.39099999999999996,0.39099999999999996,0.39099999999999996,0.39099999999999996,0,0,0,0,0,0,0,0,0.5519999999999999,0.5519999999999999,0.5519999999999999,0.5519999999999999,0.43033333333333335,0.47925000000000006,0.4264,0.4734,0.4499
736,ruminate,0.192,0.192,0.192,0.192,0,0,0,0,0,0,0,0,0.35,0.35,0.35,0.35,0,0,0,0,0.348,0.348,0.348,0.348,0.306,0.485,0.34825,0.35325,0.35075
737,rush,0,0,0,0,0,0,0,0,0.31,0.31,0.31,0.31,0.213,0.213,0.213,0.213,0.27,0.27,0.27,0.27,0.259,0.259,0.259,0.259,0.273125,0.28550000000000003,0.2827142857142857,0.2741428571428572,0.27842857142857147
738,sadden,0,0,0,0,0.23900000000000002,0.23900000000000002,0.23900000000000002,0.23900000000000002,0.304,0.304,0.304,0.304,0,0,0,0,0,0,0,0,0.366,0.366,0.366,0.366,0.31816666666666665,0.29100000000000004,0.302,0.32075000000000004,0.311375
739,sanction,0,0,0,0,0,0,0,0,0.36,0.36,0.36,0.36,0,0,0,0,0,0,0,0,0.35,0.35,0.35,0.35,0.3495,0.388,0.35333333333333333,0.3713333333333333,0.36233333333333334
740,satisfy,0,0,0,0,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.38,0.38,0.38,0.38,0.354,0.354,0.354,0.354,0,0,0,0,0.347,0.347,0.347,0.347,0.4015000000000001,0.3943333333333333,0.411,0.3858571428571429,0.3984285714285714
741,say,0.41,0.41,0.41,0.41,0,0,0,0,0.356,0.356,0.356,0.356,0.362,0.362,0.362,0.362,0.394,0.394,0.394,0.394,0.481,0.481,0.481,0.481,0.4327,0.4418333333333334,0.46449999999999997,0.40775000000000006,0.436125
742,scare,0,0,0,0,0.35899999999999993,0.35899999999999993,0.35899999999999993,0.35899999999999993,0.217,0.217,0.217,0.217,0,0,0,0,0.23700000000000002,0.23700000000000002,0.23700000000000002,0.23700000000000002,0.35500000000000004,0.35500000000000004,0.35500000000000004,0.35500000000000004,0.26637500000000003,0.28450000000000003,0.2681428571428571,0.28014285714285714,0.2741428571428572
743,schedule,0,0,0,0,0,0,0,0,0.34099999999999997,0.34099999999999997,0.34099999999999997,0.34099999999999997,0.341,0.341,0.341,0.341,0.51,0.51,0.51,0.51,0.45100000000000007,0.45100000000000007,0.45100000000000007,0.45100000000000007,0.37912500000000005,0.4455,0.3575714285714286,0.4575714285714286,0.4075714285714286
744,scheme,0.321,0.321,0.321,0.321,0,0,0,0,0,0,0,0,0.462,0.462,0.462,0.462,0.33499999999999996,0.33499999999999996,0.33499999999999996,0.33499999999999996,0,0,0,0,0.31766666666666665,0.36350000000000005,0.3034,0.3686,0.33599999999999997
745,scoff,0.342,0.342,0.342,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356,0.4029999999999999,0.44299999999999995,0.31599999999999995,0.3795
746,scold,0,0,0,0,0,0,0,0,0.344,0.344,0.344,0.344,0,0,0,0,0,0,0,0,0.199,0.199,0.199,0.199,0.28300000000000003,0.37350000000000005,0.3376666666666666,0.2886666666666667,0.31316666666666676
747,scowl,0.135,0.135,0.135,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0.24699999999999997,0.135,0.191
748,scramble,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.271,0.271,0.271,0.275,0.275,0.275,0.275,0,0,0,0,0.29600000000000004,0.28025,0.29975,0.2765,0.288125
749,scrawl,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22600000000000003,0,0.22199999999999998,0.22999999999999998,0.22600000000000003
750,scream,0.375,0.375,0.375,0.375,0,0,0,0,0,0,0,0,0.27399999999999997,0.27399999999999997,0.27399999999999997,0.27399999999999997,0.343,0.343,0.343,0.343,0,0,0,0,0.2916666666666667,0.3206666666666667,0.2788333333333333,0.3335,0.30616666666666664
751,screech,0.23900000000000002,0.23900000000000002,0.23900000000000002,0.23900000000000002,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0.38625000000000004,0.251,0.38966666666666666,0.2926666666666667,0.3411666666666667
752,scribble,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36550000000000005,0.3005,0.24649999999999994,0.41950000000000004,0.333
753,scrutinize,0.44699999999999995,0.44699999999999995,0.44699999999999995,0.44699999999999995,0.317,0.317,0.317,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.4109999999999999,0.29966666666666675,0.38499999999999995,0.3423333333333334
